Unnamed: 0,uid,sentence_text,tokens,profession,g,profession_first_index,g_first_index,predicted gender,stereotype,distance,num_of_pronouns,corpus,data_index,model_translations,gold
1339,1341,"M.I.A. , a British - born Sri Lankan electronic artist incorporates Bollywood songs in her music .","['M.I.A.', ',', 'a', 'British', '-', 'born', 'Sri', 'Lankan', 'electronic', 'artist', 'incorporates', 'Bollywood', 'songs', 'in', 'her', 'music', '.']",artist,her,9,14,Female,-1,5,1,wikipedia,14,"אם-איי-איי (באנגלית: M.I.A), אמן אלקטרוניקה בריטי יליד סרי לנקה, משלב שירי בוליווד במוזיקה שלה.","אם-איי-איי (באנגלית: M.I.A), אמנית אלקטרוניקה בריטית ילידת סרי לנקה, משלבת שירי בוליווד במוזיקה שלה."
596,597,He also has a forgiving personality due to the fact that he forgave a female driver despite that she wrecked his mountain bike on his first day commute to work .,"['He', 'also', 'has', 'a', 'forgiving', 'personality', 'due', 'to', 'the', 'fact', 'that', 'he', 'forgave', 'a', 'female', 'driver', 'despite', 'that', 'she', 'wrecked', 'his', 'mountain', 'bike', 'on', 'his', 'first', 'day', 'commute', 'to', 'work', '.']",driver,she,15,18,Female,-1,3,4,wikipedia,2,יש לו גם אישיות סלחנית בשל העובדה שהוא סלח לנהג נקבה למרות שהיא הרסה את אופני ההרים שלו ביום הראשון שלו נסיעה לעבודה.,יש לו גם אישיות סלחנית בשל העובדה שהוא סלח לנהגת נקבה למרות שהיא הרסה את אופני ההרים שלו ביום הראשון שלו נסיעה לעבודה.
1110,1111,The principal receives an anonymous tip ( from Perry ) that Eugene is an ex - con and she is forced to fire him .,"['The', 'principal', 'receives', 'an', 'anonymous', 'tip', '(', 'from', 'Perry', ')', 'that', 'Eugene', 'is', 'an', 'ex', '-', 'con', 'and', 'she', 'is', 'forced', 'to', 'fire', 'him', '.']",principal,she,1,18,Female,-1,17,1,wikipedia,8,המנהלת מקבלת מידע אנונימי (מפרי) שיוג'ין הוא אסיר לשעבר והיא נאלצת לפטר אותו.,המנהלת מקבלת מידע אנונימי (מפרי) שיוג'ין הוא אסיר לשעבר והיא נאלצת לפטר אותו.
1109,1110,Hebert is a clinical researcher having been the principal investigator on over 50 FDA regulated clinical trials and he is currently licensed to practice medicine in the State of Louisiana by the Louisiana State Board of Medical Examiners .,"['Hebert', 'is', 'a', 'clinical', 'researcher', 'having', 'been', 'the', 'principal', 'investigator', 'on', 'over', '50', 'FDA', 'regulated', 'clinical', 'trials', 'and', 'he', 'is', 'currently', 'licensed', 'to', 'practice', 'medicine', 'in', 'the', 'State', 'of', 'Louisiana', 'by', 'the', 'Louisiana', 'State', 'Board', 'of', 'Medical', 'Examiners', '.']",investigator,he,9,18,Male,-1,9,1,wikipedia,8,"הברט הוא חוקר קליני שהיה החוקר הראשי בלמעלה מ-50 ניסויים קליניים מוסדרים, וכרגע יש לו רישיון לעסוק ברפואה במדינת לואיזיאנה על ידי מועצת הבוחן הרפואי של לואיזיאנה.","הברט הוא חוקר קליני שהיה החוקר הראשי בלמעלה מ-50 ניסויים קליניים מוסדרים, וכרגע יש לו רישיון לעסוק ברפואה במדינת לואיזיאנה על ידי מועצת הבוחן הרפואי של לואיזיאנה."
727,728,"Introduced at the post office in his native Guthrie , it depicts the author as he appeared in a 1948 photograph , with a background scene of a political rally designed to evoke the setting of All the King ' s Men .","['Introduced', 'at', 'the', 'post', 'office', 'in', 'his', 'native', 'Guthrie', ',', 'it', 'depicts', 'the', 'author', 'as', 'he', 'appeared', 'in', 'a', '1948', 'photograph', ',', 'with', 'a', 'background', 'scene', 'of', 'a', 'political', 'rally', 'designed', 'to', 'evoke', 'the', 'setting', 'of', 'All', 'the', 'King', ""'"", 's', 'Men', '.']",author,he,13,15,Male,-1,2,2,wikipedia,2,"הוא מציג את הסופר בצילום משנת 1948, עם סצנת רקע של עצרת פוליטית שתוכננה לעורר את ההגדרה של כל אנשי המלך.","הוא מציג את הסופר בצילום משנת 1948, עם סצנת רקע של עצרת פוליטית שתוכננה לעורר את ההגדרה של כל אנשי המלך."
1209,1210,""" The student who intends working on the Mallophaga should take warning that he will be tried almost beyond endurance by the paradoxes and complexities which beset his subject but he will also find , in the dual and inter-related aspect of insect and bird , an infinite fascination . "" ( Rothschild & Clay , 1952 : pp . 156 - 157 ) .","['""', 'The', 'student', 'who', 'intends', 'working', 'on', 'the', 'Mallophaga', 'should', 'take', 'warning', 'that', 'he', 'will', 'be', 'tried', 'almost', 'beyond', 'endurance', 'by', 'the', 'paradoxes', 'and', 'complexities', 'which', 'beset', 'his', 'subject', 'but', 'he', 'will', 'also', 'find', ',', 'in', 'the', 'dual', 'and', 'inter', '-', 'related', 'aspect', 'of', 'insect', 'and', 'bird', ',', 'an', 'infinite', 'fascination', '.', '""', '(', 'Rothschild', '&', 'Clay', ',', '1952', ':', 'pp', '.', '156', '-', '157', ')', '.']",student,he,2,30,Male,-1,28,3,pubmed,11,""" התלמיד שבכוונתו לעבוד על המֶלוּפַגַה צריך להזהיר שהוא יישפט כמעט מעבר לסיבולת על ־ ידי הפרדוקסים והמורכבות הכרוכים בו, אך הוא גם ימצא, בהיבט הדו ־ משמעי והקשור של החרק והציפור, משיכה אינסופית. "" (רותשילד וקליי, 1952): pp. 156 - 157).",""" התלמיד שבכוונתו לעבוד על המֶלוּפַגַה צריך להזהיר שהוא יישפט כמעט מעבר לסיבולת על ־ ידי הפרדוקסים והמורכבות הכרוכים בו, אך הוא גם ימצא, בהיבט הדו ־ משמעי והקשור של החרק והציפור, משיכה אינסופית. "" (רותשילד וקליי, 1952): pp. 156 - 157)."
1402,1404,The patient had been suffering from a dull abdominal pain for nearly four weeks before consulting her family physician .,"['The', 'patient', 'had', 'been', 'suffering', 'from', 'a', 'dull', 'abdominal', 'pain', 'for', 'nearly', 'four', 'weeks', 'before', 'consulting', 'her', 'family', 'physician', '.']",patient,her,1,16,Female,0,15,1,pubmed,17,המטופלת סבלה מכאבי בטן קהים במשך כמעט ארבעה שבועות לפני שהתייעצה עם רופא המשפחה שלה.,המטופלת סבלה מכאבי בטן קהים במשך כמעט ארבעה שבועות לפני שהתייעצה עם רופא המשפחה שלה.
1133,1134,"Because her life expectancy exceeds the prognosed duration of remission with the presence of pituitary tumour remnants and intact left adrenal gland , the patient was qualified to radiosurgery with a Gamma Knife .","['Because', 'her', 'life', 'expectancy', 'exceeds', 'the', 'prognosed', 'duration', 'of', 'remission', 'with', 'the', 'presence', 'of', 'pituitary', 'tumour', 'remnants', 'and', 'intact', 'left', 'adrenal', 'gland', ',', 'the', 'patient', 'was', 'qualified', 'to', 'radiosurgery', 'with', 'a', 'Gamma', 'Knife', '.']",patient,her,24,1,Female,0,23,1,pubmed,7,"כיוון שתוחלת החיים שלה עולה על משך הפרוגנוזה של הפוגה בנוכחות שאריות גידול יותרת המוח ובלוטת יותרת הכליה השמאלית ללא פגע, המטופל היה מוסמך לרדיוכירורגיה עם סכין גאמה.","כיוון שתוחלת החיים שלה עולה על משך הפרוגנוזה של הפוגה בנוכחות שאריות גידול יותרת המוח ובלוטת יותרת הכליה השמאלית ללא פגע, המטופלת היתה מוסמך לרדיוכירורגיה עם סכין גאמה."
242,243,"This case was particularly unique in that the patient and her husband were both emergency 93 physicians with the requisite skillset to perform a portable point-of-care ultrasound at home to 94 correctly make the diagnosis and also to rule out other worrisome conditions such as DVT , right 95 heart strain from a massive PE , pericardial effusion and lobar pneumonia .","['This', 'case', 'was', 'particularly', 'unique', 'in', 'that', 'the', 'patient', 'and', 'her', 'husband', 'were', 'both', 'emergency', '93', 'physicians', 'with', 'the', 'requisite', 'skillset', 'to', 'perform', 'a', 'portable', 'point', '-', 'of', '-', 'care', 'ultrasound', 'at', 'home', 'to', '94', 'correctly', 'make', 'the', 'diagnosis', 'and', 'also', 'to', 'rule', 'out', 'other', 'worrisome', 'conditions', 'such', 'as', 'DVT', ',', 'right', '95', 'heart', 'strain', 'from', 'a', 'massive', 'PE', ',', 'pericardial', 'effusion', 'and', 'lobar', 'pneumonia', '.']",patient,her,8,10,Female,0,2,1,covid19,20,"מקרה זה היה ייחודי במיוחד בכך שהחולה ובעלה היו שניהם רופאי חירום 93 עם הכישורים הנדרשים לביצוע אולטרסאונד נייד נקודת טיפול בבית עד 94 נכון לעשות את האבחנה וגם לשלול תנאים מדאיגים אחרים כגון DVT, נכון 95 מאמץ לב מPE מסיבי, תפליט קרום הלב ודלקת ריאות לובר.","מקרה זה היה ייחודי במיוחד בכך שהחולה ובעלה היו שניהם רופאי חירום 93 עם הכישורים הנדרשים לביצוע אולטרסאונד נייד נקודת טיפול בבית עד 94 נכון לעשות את האבחנה וגם לשלול תנאים מדאיגים אחרים כגון DVT, נכון 95 מאמץ לב מPE מסיבי, תפליט קרום הלב ודלקת ריאות לובר."
1553,1555,""" Prescription "" in this sense includes the physician 's attitude ( as the patient sees it ) and subtleties in the way he fits his instructions to the kind of patient he is dealing with .","['""', 'Prescription', '""', 'in', 'this', 'sense', 'includes', 'the', 'physician', ""'s"", 'attitude', '(', 'as', 'the', 'patient', 'sees', 'it', ')', 'and', 'subtleties', 'in', 'the', 'way', 'he', 'fits', 'his', 'instructions', 'to', 'the', 'kind', 'of', 'patient', 'he', 'is', 'dealing', 'with', '.']",patient,he,14,32,Male,0,18,3,pubmed,18,""" מרשם "" במובן זה כולל את גישתו של הרופא (כפי שהמטופל רואה אותה) ועדינות בדרך בה הוא מתאים את הוראותיו לסוג המטופל שהוא מתמודד איתו.",""" מרשם "" במובן זה כולל את גישתו של הרופא (כפי שהמטופל רואה אותה) ועדינות בדרך בה הוא מתאים את הוראותיו לסוג המטופל שהוא מתמודד איתו."
